Table,Measure,Expression,Description,Table_Tokens,Measure_Tokens,Expression_Tokens,Description_Tokens,Total_Row_Tokens,Normalized_Expression,Has_Empty_Expression,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,TREATAS_Recommendation,Uses_Division_Instead_Of_DIVIDE,DIVIDE_Recommendation,Uses_FILTER_In_CALCULATE,FILTER_CALCULATE_Recommendation,Uses_FILTER_With_Measure,FILTER_MEASURE_Recommendation,Uses_Percentage_Syntax,PERCENTAGE_Recommendation,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Trending,Qualified Pipeline Coverage to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,147,0,167,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to budget py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"qualified pipeline coverage to budget, qualified pipeline coverage to budget py",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'YoY' is not self-explanatory and could confuse users unfamiliar with the term.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,CPC to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,146,0,164,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [committed pipeline coverage to budget py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"committed pipeline coverage to budget py, cpc to budget",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,"The abbreviation 'CPC' is not defined in the context, making the measure unclear.",0.0,"The name does not clearly reflect the calculation, as 'CPC' is not explained.",0.0,The abbreviation 'CPC' is cryptic and not explained in the context.,0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,CPC to Forecast YoY,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,147,0,165,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [committed pipeline coverage to forecast py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"committed pipeline coverage to forecast py, cpc to forecast",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'CPC' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Qualified Pipeline Coverage to Forecast YoY,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,149,0,169,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to forecast py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"qualified pipeline coverage to forecast, qualified pipeline coverage to forecast py",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast Latest Week,"CALCULATE( [CPC to Forecast], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) )",,1,6,30,0,47,"calculate( [cpc to forecast], keepfilters( 'trending week'[week type] = ""latest week"" ) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,cpc to forecast,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'CPC' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,QPC to Budget KPI,"DIVIDE([Qualified Pipeline Coverage to Budget Latest Week],[Pipeline Target],BLANK())",,1,5,17,0,34,"divide([qualified pipeline coverage to budget latest week],[pipeline target],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"pipeline target, qualified pipeline coverage to budget latest week",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'QPC' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,QPC to Forecast KPI,"DIVIDE([Qualified Pipeline Coverage to Forecast Latest Week],[Pipeline Target],BLANK())",,1,5,17,0,34,"divide([qualified pipeline coverage to forecast latest week],[pipeline target],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"pipeline target, qualified pipeline coverage to forecast latest week",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'QPC' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Qualified Pipeline WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    CurrentVal - PrevVal
",,1,4,127,0,144,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [qualified pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var prevval = calculate( [qualified pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = prevweekkey ) ) return currentval - prevval",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,qualified pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WoW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Committed Pipeline WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Committed + Risk Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PrevVal =
    CALCULATE(
        [Committed + Risk Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    CurrentVal - PrevVal
",,1,4,131,0,149,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [committed + risk pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var prevval = calculate( [committed + risk pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = prevweekkey ) ) return currentval - prevval",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,committed + risk pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WoW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_Co-Sell Prioritized Partner Sharing, [Co-Sell Prioritized Partner Sharing %],,1,9,10,0,32,[co-sell prioritized partner sharing %],False,No,,No,No,,No,,No,,No,,No,,Yes,No,,Yes,co-sell prioritized partner sharing %,DIRECT REFERENCE: This measure is a simple reference to another measure - consider consolidating or adding business logic,0.5,0.5,0.25,0.35,0.15,0.15,0.9,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.7999999999999999,warning,3,YELLOW,#FFFF00
Trending,WW_Forecast VTB,"DIVIDE(CALCULATE ([Billed Forecast] - [Billed Budget],KEEPFILTERS('Trending Week'[Week Type] = ""Latest Week"")),1000)",,1,6,35,0,53,"divide(calculate ([billed forecast] - [billed budget],keepfilters('trending week'[week type] = ""latest week"")),1000)",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"billed budget, billed forecast",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' and 'VTB' are not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_Additional Pipeline Needed Latest Week,"DIVIDE([Additional Pipeline Needed Latest Week],1000)",,1,7,12,0,31,"divide([additional pipeline needed latest week],1000)",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,additional pipeline needed latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_Additional Pipeline Needed Forecast Latest Week,"DIVIDE([Additional Pipeline Needed Forecast Latest Week],1000)",,1,8,13,0,33,"divide([additional pipeline needed forecast latest week],1000)",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,additional pipeline needed forecast latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_SolutionAreaSelect," IF(ISFILTERED('Product'[Solution Area]),SELECTEDVALUE('Product'[Solution Area]),BLANK())",,1,5,22,0,40,"if(isfiltered('product'[solution area]),selectedvalue('product'[solution area]),blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_SolutionAreaHeader," if(ISBLANK([WW_SolutionAreaSelect]),""All Up Business"",[WW_SolutionAreaSelect] & "" All Up"")",,1,5,27,0,45,"if(isblank([ww_solutionareaselect]),""all up business"",[ww_solutionareaselect] & "" all up"")",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,ww_solutionareaselect,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_SolutionAreaBackgroundColour," SWITCH(SELECTEDVALUE('Product'[Solution Area]),""Modern Work"",1
,""Business Applications"",2
,""Applications and Infrastructure"",3
,""Data and AI"",4,0)",,1,6,39,0,58,"switch(selectedvalue('product'[solution area]),""modern work"",1 ,""business applications"",2 ,""applications and infrastructure"",3 ,""data and ai"",4,0)",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviation 'WW' is not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_QPC KPI,"
DIVIDE (
    [Qualified Pipeline Coverage to Budget Latest Week],
    [Pipeline Target],
    """"
)",,1,4,22,0,38,"divide ( [qualified pipeline coverage to budget latest week], [pipeline target], """" )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"pipeline target, qualified pipeline coverage to budget latest week",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,The abbreviations 'WW' and 'QPC' are not self-explanatory and could confuse users.,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_QPC KPI Icon," 
var perfQPC = [WW_QPC KPI]
RETURN
SWITCH( TRUE()
                    , perfQPC >= 0.995 && perfQPC < 100, 1
                    , perfQPC >= 0.895 && perfQPC < 0.995,2
                    , perfQPC > 0 && perfQPC < 0.895, 3
)",,1,5,84,0,101,"var perfqpc = [ww_qpc kpi] return switch( true() , perfqpc >= 0.995 && perfqpc < 100, 1 , perfqpc >= 0.895 && perfqpc < 0.995,2 , perfqpc > 0 && perfqpc < 0.895, 3 )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,ww_qpc kpi,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'QPC' and 'KPI', which are not self-explanatory without prior knowledge.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_CPC Check Icon," 
var cpcVar = [CPC to Budget Latest Week]
RETURN
SWITCH( TRUE(),
                        cpcVar >= 0.995, 1,
                        cpcVar >= 0.895 && cpcVar < 0.995 , 2, 
                        cpcVar < 0.895 && cpcVar<>0, 3
)",,1,5,77,0,94,"var cpcvar = [cpc to budget latest week] return switch( true(), cpcvar >= 0.995, 1, cpcvar >= 0.895 && cpcvar < 0.995 , 2, cpcvar < 0.895 && cpcvar<>0, 3 )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,cpc to budget latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'CPC', which are not self-explanatory without prior knowledge.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_QPAT60 KPI,"
DIVIDE ( [Qualified Pipeline in High Stage Latest Week], [Formats], """" )",,1,5,18,0,35,"divide ( [qualified pipeline in high stage latest week], [formats], """" )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"formats, qualified pipeline in high stage latest week",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'WW_QPAT60 KPI' is cryptic and does not explain what it calculates.,0.0,"The name does not reflect the expression, which divides 'Qualified Pipeline in High Stage Latest Week' by 'Formats'.",0.0,"The name uses abbreviations like 'QPAT60', which are not self-explanatory.",0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Close Plan Attach Latest Week,"CALCULATE([Qualified Pipeline with Close Plan Attach],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,1,5,28,0,46,"calculate([qualified pipeline with close plan attach],keepfilters( 'trending week'[week type] = ""latest week"" ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,qualified pipeline with close plan attach,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,WW_QPCForecast KPI Icon," 
var perfQPC = [WW_QPCForecast KPI]
RETURN
IF([GreyOutSelect] = 0,
SWITCH( TRUE()
                    , perfQPC >= 0.995 && perfQPC < 100, 1
                    , perfQPC >= 0.895 && perfQPC < 0.995,2
                    , perfQPC > 0 && perfQPC < 0.895, 3
),4)",,1,6,97,0,115,"var perfqpc = [ww_qpcforecast kpi] return if([greyoutselect] = 0, switch( true() , perfqpc >= 0.995 && perfqpc < 100, 1 , perfqpc >= 0.895 && perfqpc < 0.995,2 , perfqpc > 0 && perfqpc < 0.895, 3 ),4)",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"greyoutselect, ww_qpcforecast kpi",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'QPC' and 'KPI', which are not self-explanatory without prior knowledge.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_CPCForecast Check Icon," 
var cpcVar = [CPC to Forecast Latest Week]
RETURN
IF([GreyOutSelect] = 0,
SWITCH( TRUE(),
                        cpcVar >= 0.995, 1,
                        cpcVar >= 0.895 && cpcVar < 0.995 , 2, 
                        cpcVar < 0.895 && cpcVar<>0, 3
),4)",,1,6,89,0,107,"var cpcvar = [cpc to forecast latest week] return if([greyoutselect] = 0, switch( true(), cpcvar >= 0.995, 1, cpcvar >= 0.895 && cpcvar < 0.995 , 2, cpcvar < 0.895 && cpcvar<>0, 3 ),4)",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"cpc to forecast latest week, greyoutselect",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'CPC', which are not self-explanatory without prior knowledge.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_QPCForecast KPI,"
DIVIDE (
    [Qualified Pipeline Coverage to Forecast Latest Week],
    [Pipeline Target],
    """"
)",,1,5,22,0,39,"divide ( [qualified pipeline coverage to forecast latest week], [pipeline target], """" )",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,"pipeline target, qualified pipeline coverage to forecast latest week",,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,0.0,The name 'WW_QPCForecast KPI' is cryptic and does not explain what it calculates.,0.0,"The name does not reflect the expression, which divides 'Qualified Pipeline Coverage to Forecast Latest Week' by 'Pipeline Target'.",0.0,"The name uses abbreviations like 'QPC', which are not self-explanatory.",0.0,0.0,0.3333333333333333,critical,1,RED,#FF0000
Trending,Total DBF Latest Week,"CALCULATE([Total DBF],KEEPFILTERS('Trending Week'[Week Type] = ""Latest Week""),ALL('Trending Week'))",,1,5,28,0,45,"calculate([total dbf],keepfilters('trending week'[week type] = ""latest week""),all('trending week'))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,total dbf,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'DBF', which are not self-explanatory.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,DBF VTB $ Latest Week,"VAR X = CALCULATE([Total DBF] - [Billed Budget], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ),ALL('Trending Week') )

RETURN IFERROR(X,BLANK())",,1,7,50,0,69,"var x = calculate([total dbf] - [billed budget], keepfilters( 'trending week'[week type] = ""latest week"" ),all('trending week') ) return iferror(x,blank())",False,No,,Yes,No,,No,,No,,No,,No,,No,No,,Yes,"billed budget, total dbf",Avoid IFERROR and handle them properly,0.5,0.5,0.25,0.35,0.15,0.15,0.9,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'DBF' and 'VTB', which are not self-explanatory.",1.5,0.5,0.7999999999999999,warning,3,YELLOW,#FFFF00
Trending,Co-Sell Prioritized Partner Sharing %,"DIVIDE (
    CALCULATE(DISTINCTCOUNT(Trending[OpportunityID]), Trending[Cosell_Num] > 0, Trending[OpportunityID] <> ""NA""),
    CALCULATE(DISTINCTCOUNT(Trending[OpportunityID]), Trending[Cosell_Den] > 0, Trending[OpportunityID] <> ""NA"")
,BLANK()
)",,1,8,75,0,94,"divide ( calculate(distinctcount(trending[opportunityid]), trending[cosell_num] > 0, trending[opportunityid] <> ""na""), calculate(distinctcount(trending[opportunityid]), trending[cosell_den] > 0, trending[opportunityid] <> ""na"") ,blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Partner Sharing %,"
    DIVIDE (
        CALCULATE(DISTINCTCOUNT(Trending[OpportunityID]), Trending[PartnerSharing_Num] > 0, Trending[OpportunityID] <> ""NA"" ),
        CALCULATE(DISTINCTCOUNT(Trending[OpportunityID]), Trending[PartnerSharing_Den] > 0, Trending[OpportunityID] <> ""NA""),
        BLANK()
    )",,1,3,79,0,93,"divide ( calculate(distinctcount(trending[opportunityid]), trending[partnersharing_num] > 0, trending[opportunityid] <> ""na"" ), calculate(distinctcount(trending[opportunityid]), trending[partnersharing_den] > 0, trending[opportunityid] <> ""na""), blank() )",False,No,,No,No,,No,,No,,No,,No,,No,No,,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,DBF VTF $ Latest Week,"VAR X = CALCULATE([Total DBF] - [Billed Forecast], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) ,ALL('Trending Week'))

RETURN IFERROR(X,BLANK())",,1,7,50,0,69,"var x = calculate([total dbf] - [billed forecast], keepfilters( 'trending week'[week type] = ""latest week"" ) ,all('trending week')) return iferror(x,blank())",False,No,,Yes,No,,No,,No,,No,,No,,No,No,,Yes,"billed forecast, total dbf",Avoid IFERROR and handle them properly,0.5,0.5,0.25,0.35,0.15,0.15,0.9,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'DBF' and 'VTF', which are not self-explanatory.",1.5,0.5,0.7999999999999999,warning,3,YELLOW,#FFFF00
Trending,WW_DBF VTB $," DIVIDE([DBF VTB $ Latest Week],1000,BLANK())",,1,6,17,0,35,"divide([dbf vtb $ latest week],1000,blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,dbf vtb $ latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'DBF' and 'VTB', which are not self-explanatory.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,WW_DBF VTF $," DIVIDE([DBF VTF $ Latest Week],1000,BLANK())",,1,6,17,0,35,"divide([dbf vtf $ latest week],1000,blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,dbf vtf $ latest week,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.0,"The name uses abbreviations like 'DBF' and 'VTF', which are not self-explanatory.",1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Uncommitted Upside Pipeline Latest Week,"CALCULATE([Uncommitted Upside Pipeline],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,1,8,28,0,49,"calculate([uncommitted upside pipeline],keepfilters( 'trending week'[week type] = ""latest week"" ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,uncommitted upside pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Uncommitted Pipeline Latest Week,"CALCULATE([Uncommitted Pipeline],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,1,6,26,0,45,"calculate([uncommitted pipeline],keepfilters( 'trending week'[week type] = ""latest week"" ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,uncommitted pipeline,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline in High Stage Latest Week,"CALCULATE([Qualified Pipeline in High Stage],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,1,7,27,0,47,"calculate([qualified pipeline in high stage],keepfilters( 'trending week'[week type] = ""latest week"" ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,Yes,qualified pipeline in high stage,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,,0.5,,0.5,,2.0,1.0,1.0,good,4,GREEN,#00FF00
