Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,Complexity Level,Has Description,Is Standard Measure,Standardized Calculation Logic Score,Naming Conventions Score,Overall Score,Sub-Rule Scores Breakdown,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Trending,Issue,Additional Pipeline Needed Latest Week,"VAR  A = CALCULATE( ( [Pipeline Target Unround] * ( [Billed Budget] - SUM( Trending[ActualBilledRevenue] ) - SUM( Trending[ScheduledBilledRevenue] ) ) )
    - ( SUM( Trending[QualifiedPipeline] ) + SUM( Trending[RunRateProjections] ) )
    ,KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))

RETURN IF(OR(A <= 0,[QPC to Budget KPI] > 0.995),BLANK(),A)",Complex multi-step calculation,High,No,No,0.380,0.960,0.670,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Additional Pipeline Needed MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)",Complex multi-step calculation,High,No,No,0.380,0.920,0.650,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Additional Pipeline Needed WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)",Complex multi-step calculation,High,No,No,0.380,0.920,0.650,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,STU Owned Pipeline MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,STU Owned Pipeline WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,STU Owned Pipeline Latest Week,"CALCULATE([STU Owned Pipeline Base],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",Calculated measure with business logic,Medium,No,No,0.560,0.920,0.740,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Close Plan Attach WoW,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Close Plan Attach MoM,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Forecast WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Forecast MoM,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast MoM,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast WoW,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Budget Latest Week,"CALCULATE( [CPC to Budget], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) )",Calculated measure with business logic,Medium,No,No,0.560,0.920,0.740,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Additional Pipeline Needed Forecast Latest Week,"VAR  A = CALCULATE( ( [Pipeline Target Unround] * ( [Billed Forecast] - SUM( Trending[ActualBilledRevenue] ) - SUM( Trending[ScheduledBilledRevenue] ) ) )
    - ( SUM( Trending[QualifiedPipeline] ) + SUM( Trending[RunRateProjections] ) )
    ,KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))

RETURN IF(OR(A <= 0,[QPC to Forecast KPI] > 0.995),BLANK(),A)",Complex multi-step calculation,High,No,No,0.380,0.960,0.670,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.200","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast YoY,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline Coverage to Forecast YoY,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )",Complex multi-step calculation,High,No,No,0.350,0.920,0.635,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.060, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,CPC to Forecast Latest Week,"CALCULATE( [CPC to Forecast], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) )",Calculated measure with business logic,Medium,No,No,0.560,0.920,0.740,"ML-001: 0.200, ML-002: 0.150, ML-003: 0.000, ML-004: 0.210, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculated measures should leverage standard business logic patterns. Break down into simpler components where possible and reuse common calculation elements.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Warning,QPC to Budget KPI,"DIVIDE([Qualified Pipeline Coverage to Budget Latest Week],[Pipeline Target],BLANK())",Ratio or percentage calculation,Medium,No,No,0.650,0.920,0.785,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Warning,QPC to Forecast KPI,"DIVIDE([Qualified Pipeline Coverage to Forecast Latest Week],[Pipeline Target],BLANK())",Ratio or percentage calculation,Medium,No,No,0.650,0.920,0.785,"ML-001: 0.200, ML-002: 0.180, ML-003: 0.000, ML-004: 0.270, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Ratio/percentage measures should follow standard calculation patterns. Use DIVIDE() function, include '%' in name for percentages, and ensure consistent decimal formatting across similar measures.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
Trending,Issue,Qualified Pipeline WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    CurrentVal - PrevVal",Complex multi-step calculation,High,No,No,0.380,0.920,0.650,"ML-001: 0.200, ML-002: 0.090, ML-003: 0.000, ML-004: 0.090, MN-001: 0.400, MN-002: 0.360, MN-003: 0.160","Complex calculations should be evaluated for standard library inclusion if they represent common business metrics. Consider if this can be simplified using standard patterns or broken into reusable components.; Missing business description. Add comprehensive documentation explaining: (1) What business question this measure answers, (2) When business users should use it, (3) Expected value ranges, (4) Any business rules or filters applied, (5) Data source and calculation methodology in plain language.; Complex calculation - high complexity detected. Consider: (1) Breaking into multiple simpler measures, (2) Adding inline comments explaining logic, (3) Using variables for intermediate calculations, (4) Formatting with proper line breaks and indentation.","Naming conventions meet all standards (Clear definitions, Business-focused language, Proper DAX references)"
