Table Name,Issue_Severity,Measure Name,Measure Formula,AI Classification,Calculation Type,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,AI Confidence,Overall Score,Calculation Logic Score,Naming Score,Business Value,Technical Quality,Standardization Level,Business Purpose,User Friendliness,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account Planning,Warning,Account Planning.# of Plans w/ Priority,,Good,Simple Aggregation,No - The formula is unique and does not duplicate other measures.,No - The measure is specific to account planning and does not align with standard enterprise measures.,Yes - The formula is straightforward and easy to understand.,"Low - The formula uses a simple aggregation with SUMX, making it low complexity.",Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which could improve clarity.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.750,0.500,1.000,Medium,Good,Departmental,Counts the number of account plans with a priority.,High,Add a description to explain the business logic behind the measure.,No changes needed; the name is already clear and descriptive.
Account Planning,Warning,# plans with manager reviewed date in last 90 days,,Good,Time Intelligence,No - The measure has a unique calculation logic that filters accounts based on the manager-reviewed date within the last 90 days.,Yes - The measure aligns with standard business reporting needs for tracking recent activity.,Yes - The calculation logic is straightforward and aligns with the business purpose of tracking recent reviews.,"Medium - The measure uses a CALCULATE function with a FILTER condition, which is moderately complex but appropriate for the business requirement.",Yes - The name clearly describes the measure's purpose and calculation logic.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The measure uses fully qualified column references, ensuring clarity and consistency.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the number of account plans reviewed by managers in the last 90 days.,High,"Ensure that the measure has a description to explain its business purpose clearly. Otherwise, the calculation logic is appropriate and standardized.",The naming convention is clear and descriptive. No changes are needed.
Account Planning,Warning,# plans with days since modified < 30 days,"CALCULATE (
  [# of Account Plans],
  FILTER( 'Account','Account'[Days Since Modified] < 30))",Good,Time Intelligence,No - The measure has a unique calculation logic that filters accounts based on the days since they were last modified.,Yes - The measure aligns with standard business reporting needs for tracking recent modifications.,Yes - The calculation logic is straightforward and aligns with the business purpose of tracking recent modifications.,"Low - The measure uses a simple CALCULATE function with a FILTER condition, which is easy to understand.",Yes - The name clearly describes the measure's purpose and calculation logic.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The measure uses fully qualified column references, ensuring clarity and consistency.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the number of account plans modified in the last 30 days.,High,"Ensure that the measure has a description to explain its business purpose clearly. Otherwise, the calculation logic is appropriate and standardized.",The naming convention is clear and descriptive. No changes are needed.
Account Planning,Warning,% Plans Modified < 30 Days,"DIVIDE([# plans with days since modified < 30 days],[# of Account Plans],"""")",Good,Ratio Percentage,No - The measure has a unique calculation logic that calculates the percentage of plans modified in the last 30 days.,Yes - The measure aligns with standard business reporting needs for tracking modification percentages.,Yes - The calculation logic is straightforward and aligns with the business purpose of tracking modification percentages.,"Low - The measure uses a simple DIVIDE function, which is easy to understand.",Yes - The name clearly describes the measure's purpose and calculation logic.,"No - The measure lacks a description, which would help clarify its business purpose.","Yes - The measure uses proper measure references, ensuring clarity and consistency.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Calculates the percentage of account plans modified in the last 30 days.,High,"Ensure that the measure has a description to explain its business purpose clearly. Otherwise, the calculation logic is appropriate and standardized.",The naming convention is clear and descriptive. No changes are needed.
Account Planning,Warning,Account Planning.# of Top Priorities with CSP,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters for 'Is Top Priority with CSP'.,No - The measure is specific to the business context and not a standard enterprise measure.,"No - The calculation logic is not explained in business terms, and the description is missing.",Low - The measure uses simple DAX functions with minimal nesting.,Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The DAX formula uses proper references for columns and measures.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.750,0.500,1.000,Medium,Good,Departmental,Counts the number of top priorities associated with CSP for account planning.,Medium,Add a clear description in business terms to explain the purpose and logic of the measure. Consider aligning it with enterprise standards if applicable.,The naming convention is appropriate; no changes are needed.
Account Planning,Warning,Account Planning.# of Top Priorities,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters for 'Is Top Priority Linked to Active Customer'.,No - The measure is specific to the business context and not a standard enterprise measure.,"No - The calculation logic is not explained in business terms, and the description is missing.",Low - The measure uses simple DAX functions with minimal nesting.,Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The DAX formula uses proper references for columns and measures.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.750,0.500,1.000,Medium,Good,Departmental,Counts the number of top priorities linked to active customers for account planning.,Medium,Add a clear description in business terms to explain the purpose and logic of the measure. Consider aligning it with enterprise standards if applicable.,The naming convention is appropriate; no changes are needed.
Account Planning,Warning,Account Planning.# Accounts with MACC,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters for 'Has MACC Pipeline'.,No - The measure is specific to the business context and not a standard enterprise measure.,"No - The calculation logic is not explained in business terms, and the description is missing.",Low - The measure uses simple DAX functions with minimal nesting.,Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The DAX formula uses proper references for columns and measures.,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.750,0.500,1.000,Medium,Good,Departmental,Counts the number of accounts with MACC pipeline for account planning.,Medium,Add a clear description in business terms to explain the purpose and logic of the measure. Consider aligning it with enterprise standards if applicable.,The naming convention is appropriate; no changes are needed.
Account Planning,Issue,Account Planning.% of Accounts with CSDR Within Last 30 Days,,Fair,Ratio Percentage,No - The measure has a unique calculation logic involving specific filters for 'Has Premier Unified' and 'Has CSDR'.,No - This measure is specific to the business context and does not align with common enterprise-wide standard measures.,No - The calculation logic is not fully clear due to the lack of a description and the truncated formula.,"High - The measure has a high level of complexity with 7 nested functions and a lengthy formula, which may be difficult for business users to understand.","Yes - The name is descriptive and aligns with the calculation logic, clearly indicating the measure's purpose.","No - The measure lacks a description, making it difficult for users to understand its business purpose.",Yes - The DAX formula uses proper referencing with fully qualified column names and measure references.,0.200,0.200,0.000,0.300,0.000,0.200,0.100,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.800,0.650,0.300,1.000,Medium,Fair,Departmental,To calculate the percentage of accounts with CSDR within the last 30 days for performance tracking.,Low,Simplify the calculation logic if possible to reduce complexity. Provide a complete formula and ensure it is not truncated. Add a clear description in plain business terms to explain the measure's purpose and calculation.,The naming convention is appropriate and does not require changes.
Account Planning,Warning,Account Planning.# of Active Priorities,,Good,Simple Aggregation,No - The measure has a unique calculation logic filtering for 'Active' priorities.,Yes - This measure aligns with standard business reporting needs for tracking active priorities.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure has a simple calculation with only 2 nested functions.,Yes - The name is descriptive and clearly reflects the calculation logic.,"No - The measure lacks a description, which could help clarify its business purpose.",Yes - The DAX formula uses proper referencing with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,To track the number of active priorities for account planning.,High,No changes needed for the calculation logic. Add a description to improve clarity for business users.,The naming convention is appropriate and does not require changes.
Pipeline,Warning,Pipeline.% Billed Pipeline w/ Priority,,Good,Ratio Percentage,No - The measure has a unique calculation logic involving a ratio of billed pipeline with priority.,Yes - This measure aligns with standard business reporting needs for pipeline analysis.,Yes - The calculation logic is clear and easy to understand.,Medium - The measure has moderate complexity with 3 nested functions.,Yes - The name is descriptive and clearly reflects the calculation logic.,"No - The measure lacks a description, which could help clarify its business purpose.",Yes - The DAX formula uses proper referencing with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,To calculate the percentage of billed pipeline with priority for pipeline analysis.,High,No changes needed for the calculation logic. Add a description to improve clarity for business users.,The naming convention is appropriate and does not require changes.
Pipeline,Warning,Pipeline.Billed Pipeline,,Good,Calculated Measure,No - The measure references another measure and has a unique purpose.,Yes - This measure aligns with standard business reporting needs for pipeline analysis.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure has a simple calculation with no nested functions.,Yes - The name is descriptive and clearly reflects the calculation logic.,"No - The measure lacks a description, which could help clarify its business purpose.",Yes - The DAX formula uses proper referencing with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Excellent,Enterprise,To calculate the billed pipeline for pipeline analysis.,High,No changes needed for the calculation logic. Add a description to improve clarity for business users.,The naming convention is appropriate and does not require changes.
Pipeline,Warning,Pipeline.Billed Opportunity Count,,Good,Simple Aggregation,No - The measure has a unique calculation logic filtering for 'Qualified Pipeline Flag'.,Yes - This measure aligns with standard business reporting needs for pipeline analysis.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure has a simple calculation with only 2 nested functions.,Yes - The name is descriptive and clearly reflects the calculation logic.,"No - The measure lacks a description, which could help clarify its business purpose.",Yes - The DAX formula uses proper referencing with fully qualified column names and measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,To count the number of billed opportunities in the pipeline.,High,No changes needed for the calculation logic. Add a description to improve clarity for business users.,The naming convention is appropriate and does not require changes.
Pipeline,Warning,Pipeline.Opportunity Count,,Good,Simple Aggregation,No - The measure uses a unique calculation logic with SUMX and VALUES to count distinct opportunities.,Yes - Counting opportunities is a common business requirement and aligns with standard reporting needs.,No - The calculation logic is not immediately clear to a business user without additional explanation.,Low - The measure uses a simple aggregation with minimal nested functions.,"Yes - The name clearly reflects the purpose of the measure, which is counting opportunities.","No - The measure lacks a description, which would help explain its purpose and calculation logic.","Yes - The measure uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Counts the number of unique opportunities in the pipeline.,Medium,Add a description to explain the purpose and logic of the measure in business terms. Consider simplifying the formula if possible.,No changes needed as the name is clear and descriptive.
Pipeline,Warning,Pipeline.Committed Pipeline,,Good,Calculated Measure,No - The measure uses a unique filter condition to calculate committed pipeline.,Yes - Committed pipeline is a standard metric in sales and pipeline reporting.,No - The calculation logic is not self-explanatory without a description.,"Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity.",Yes - The name clearly reflects the purpose of the measure.,"No - The measure lacks a description, which would help explain its purpose and logic.",Yes - The measure uses proper DAX references for columns and measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculates the total value of committed pipeline opportunities.,Medium,Add a description to explain the purpose and logic of the measure in business terms.,No changes needed as the name is clear and descriptive.
Pipeline,Warning,Pipeline.Committed at Risk Pipeline,,Good,Calculated Measure,No - The measure uses a unique filter condition to calculate committed at risk pipeline.,Yes - Committed at risk pipeline is a standard metric in sales and pipeline reporting.,No - The calculation logic is not self-explanatory without a description.,"Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity.",Yes - The name clearly reflects the purpose of the measure.,"No - The measure lacks a description, which would help explain its purpose and logic.",Yes - The measure uses proper DAX references for columns and measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculates the total value of committed at risk pipeline opportunities.,Medium,Add a description to explain the purpose and logic of the measure in business terms.,No changes needed as the name is clear and descriptive.
Pipeline,Good,Pipeline.Committed + Risk Pipeline,,Excellent,Calculated Measure,"No - The measure combines two other measures, making it unique.",Yes - Summing committed and at risk pipeline is a standard business requirement.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure is a simple addition of two other measures.,Yes - The name clearly reflects the purpose of the measure.,"No - The measure lacks a description, which would help explain its purpose.",Yes - The measure uses proper DAX references for measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,1.000,0.900,0.800,1.000,Medium,Excellent,Enterprise,Calculates the total value of committed and at risk pipeline opportunities.,High,Add a description to explain the purpose of the measure.,No changes needed as the name is clear and descriptive.
Pipeline,Warning,Pipeline.Billed Pipeline w/ Priority,,Good,Calculated Measure,No - The measure uses a unique filter condition to calculate billed pipeline with priority.,Yes - Billed pipeline with priority is a standard metric in sales reporting.,No - The calculation logic is not self-explanatory without a description.,"Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity.",Yes - The name clearly reflects the purpose of the measure.,"No - The measure lacks a description, which would help explain its purpose and logic.",Yes - The measure uses proper DAX references for columns and measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculates the total value of billed pipeline opportunities with priority.,Medium,Add a description to explain the purpose and logic of the measure in business terms.,No changes needed as the name is clear and descriptive.
Pipeline,Issue,Pipeline.ACR Pipeline,,Fair,Simple Aggregation,Yes - The measure directly references another measure ([ACR Pipeline Base]) without any additional logic.,No - The measure does not align with common enterprise standards like Total Sales or YoY Growth.,"No - The measure lacks a description, and its calculation logic is not clear without understanding [ACR Pipeline Base].",Low - The measure is a simple reference to another measure with no nested functions or additional logic.,Yes - The name is descriptive and aligns with the calculation purpose.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The measure uses proper DAX referencing for the base measure.,0.000,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.650,0.300,1.000,Medium,Good,Ad_Hoc,"Represents a pipeline metric, but its exact purpose is unclear without a description.",Medium,Add a description to explain the purpose of the measure and its relationship to [ACR Pipeline Base]. Consider whether this measure is necessary or if [ACR Pipeline Base] can be used directly.,The naming convention is appropriate; no changes are needed.
Pipeline,Warning,Pipeline.Future year ACR Pipeline,,Good,Time Intelligence,No - The measure has a unique calculation logic involving time intelligence and filtering.,Yes - The measure aligns with enterprise standards for time-based metrics.,"No - The measure lacks a description, making it harder to understand its purpose without examining the formula.","Medium - The measure uses CALCULATE, KEEPFILTERS, and ALL functions, which add moderate complexity.",Yes - The name is descriptive and aligns with the calculation purpose.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The measure uses proper DAX referencing for columns and measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Provides a forecasted pipeline metric for the next calendar year.,High,Add a description to explain the purpose of the measure and its business context. Ensure the logic aligns with enterprise time intelligence standards.,The naming convention is appropriate; no changes are needed.
Pipeline,Warning,Pipeline.ACR Pipeline w/ Priority,,Good,Calculated Measure,No - The measure has a unique calculation logic involving filtering and aggregation.,Yes - The measure aligns with enterprise standards for priority-based metrics.,"No - The measure lacks a description, making it harder to understand its purpose without examining the formula.","Medium - The measure uses CALCULATE and KEEPFILTERS functions, which add moderate complexity.",Yes - The name is descriptive and aligns with the calculation purpose.,"No - The measure lacks a description, which reduces its clarity for business users.",Yes - The measure uses proper DAX referencing for columns and measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Provides a priority-based pipeline metric.,High,Add a description to explain the purpose of the measure and its business context. Ensure the logic aligns with enterprise standards for priority-based metrics.,The naming convention is appropriate; no changes are needed.
Pipeline,Warning,Pipeline.# Billed Oppties w/ Priority,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters opportunities based on 'Billed' pipeline type.,Yes - The measure aligns with standard business reporting needs for tracking billed opportunities.,Yes - The calculation logic is straightforward and uses clear filtering criteria.,"Low - The measure uses a simple CALCULATE function with one filter condition, making it easy to understand.",Yes - The name clearly describes the measure's purpose and calculation logic.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the number of billed opportunities with priority for pipeline analysis.,High,The measure's calculation logic is clear and standardized. Adding a description would enhance its usability.,The naming convention is appropriate and aligns with enterprise standards. No changes are needed.
Pipeline,Warning,Pipeline.# Consumed Oppties w/ Priority,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters opportunities based on 'Consumption' pipeline type.,Yes - The measure aligns with standard business reporting needs for tracking consumed opportunities.,Yes - The calculation logic is straightforward and uses clear filtering criteria.,"Low - The measure uses a simple CALCULATE function with one filter condition, making it easy to understand.",Yes - The name clearly describes the measure's purpose and calculation logic.,"No - The measure lacks a description, which would help clarify its business purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the number of consumed opportunities with priority for pipeline analysis.,High,The measure's calculation logic is clear and standardized. Adding a description would enhance its usability.,The naming convention is appropriate and aligns with enterprise standards. No changes are needed.
Pipeline,Issue,Pipeline.% of Billed Opties w/ future date,,Fair,Ratio Percentage,No - The measure has a unique calculation logic involving multiple filters and a ratio calculation.,No - The measure is not a standard enterprise measure and appears to be more ad-hoc.,No - The calculation logic is complex and lacks a description to clarify its purpose.,"High - The measure uses multiple nested functions and variables, making it harder to understand.",Yes - The name is descriptive and aligns with the calculation logic.,"No - The measure lacks a description, which is critical given its complexity.",Yes - The measure uses proper DAX syntax with fully qualified column references.,0.200,0.200,0.000,0.300,0.000,0.200,0.100,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.800,0.650,0.300,1.000,Medium,Fair,Ad_Hoc,Calculates the percentage of billed opportunities with a future date.,Medium,Simplify the calculation logic or provide a detailed description to improve clarity and usability.,The naming convention is appropriate. No changes are needed.
Pipeline,Issue,Pipeline.% Billed opties w/ close plan,,Fair,Complex Calculation,No - The measure uses a unique calculation involving multiple filters and a specific business condition.,No - This measure is not a standard enterprise measure but rather a specific business scenario.,No - The calculation logic is complex and lacks a description to explain its purpose in business terms.,"High - The measure uses multiple variables, nested functions, and complex filtering logic, making it difficult to interpret.",No - The name is not fully descriptive and uses abbreviations like 'opties' which may not be clear to all users.,"No - The measure lacks a description, which makes it harder for users to understand its purpose.",Yes - The measure uses proper DAX syntax and fully qualified column references.,0.200,0.200,0.000,0.300,0.000,0.200,0.100,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.800,0.450,0.300,0.600,Medium,Fair,Ad_Hoc,To calculate the percentage of billed opportunities with a close plan attached.,Low,Simplify the calculation logic if possible or provide a detailed description to explain the purpose of the measure in business terms.,"Use a more descriptive name that avoids abbreviations, such as 'Percentage_Billed_Opportunities_With_Close_Plan'."
Pipeline,Issue,Pipeline.% of Total Opties w/ future date,,Fair,Complex Calculation,No - The measure uses a unique calculation with specific filters and conditions.,No - This measure is not a standard enterprise measure but rather a specific business scenario.,No - The calculation logic is complex and lacks a description to explain its purpose in business terms.,"High - The measure uses multiple variables, nested functions, and complex filtering logic, making it difficult to interpret.",No - The name is not fully descriptive and uses abbreviations like 'opties' which may not be clear to all users.,"No - The measure lacks a description, which makes it harder for users to understand its purpose.","No - The DAX formula uses an incorrect syntax for the OR function, which may lead to errors.",0.200,0.200,0.000,0.300,0.000,0.200,0.100,0.300,0.200,0.400,0.200,0.400,0.000,0.200,0.800,0.350,0.300,0.400,Medium,Fair,Ad_Hoc,To calculate the percentage of total opportunities with a future date.,Low,Simplify the calculation logic if possible or provide a detailed description to explain the purpose of the measure in business terms. Correct the DAX syntax for the OR function.,"Use a more descriptive name that avoids abbreviations, such as 'Percentage_Of_Total_Opportunities_With_Future_Date'."
Pipeline,Good,Pipeline.Total Pipeline,,Excellent,Simple Aggregation,No - The measure uses a unique calculation that sums two other measures.,Yes - This measure aligns with standard enterprise measures for calculating total pipeline.,Yes - The calculation logic is simple and self-explanatory.,Low - The measure uses a simple addition operation with no nested functions.,"Yes - The name is clear, descriptive, and aligns with the calculation.","No - The measure lacks a description, which could provide additional context.",Yes - The measure uses proper DAX syntax and unqualified references for measures.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Excellent,Enterprise,To calculate the total pipeline by summing billed and ACR pipeline.,High,No changes needed as the calculation logic is already simple and standard.,Add a description to provide additional context for the measure.
Pipeline,Warning,Pipeline.# Consumed Oppties,,Good,Simple Aggregation,No - The measure uses a unique calculation logic with specific filters applied to the Opportunity Type.,Yes - The measure aligns with standard business reporting needs for tracking consumed opportunities.,No - The calculation logic is not immediately clear without a description explaining the purpose of the measure.,"Low - The measure uses a simple CALCULATE function with a KEEPFILTERS modifier, which is straightforward.",Yes - The name is descriptive and aligns with the measure's calculation logic.,"No - The measure lacks a description, which makes it harder for business users to understand its purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the count of consumed opportunities for business analysis.,Medium,Add a clear description to explain the business purpose of this measure. Ensure that the filters applied are aligned with business requirements.,No changes needed as the naming convention is already clear and descriptive.
Pipeline,Warning,Pipeline.% Total Opty count w/ priority,,Good,Ratio Percentage,No - The measure uses a unique calculation logic involving a VAR and DIVIDE function.,Yes - The measure aligns with standard business needs for calculating percentages of opportunities with priority.,No - The calculation logic is not immediately clear without a description explaining the purpose of the measure.,"Medium - The measure uses a VAR and DIVIDE function, which adds moderate complexity.",Yes - The name is descriptive and aligns with the measure's calculation logic.,"No - The measure lacks a description, which makes it harder for business users to understand its purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Calculates the percentage of total opportunities with priority for business analysis.,Medium,Add a clear description to explain the business purpose of this measure. Ensure that the logic aligns with business requirements.,No changes needed as the naming convention is already clear and descriptive.
Pipeline,Warning,Pipeline.% Total Stage 1 Opty count w/ priority,,Good,Ratio Percentage,No - The measure uses a unique calculation logic with specific filters applied to the Sales Stage Sort.,Yes - The measure aligns with standard business needs for tracking Stage 1 opportunities with priority.,No - The calculation logic is not immediately clear without a description explaining the purpose of the measure.,"Low - The measure uses a simple CALCULATE function with a KEEPFILTERS modifier, which is straightforward.",Yes - The name is descriptive and aligns with the measure's calculation logic.,"No - The measure lacks a description, which makes it harder for business users to understand its purpose.",Yes - The measure uses proper DAX syntax with fully qualified column references and unqualified measure references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the percentage of Stage 1 opportunities with priority for business analysis.,Medium,Add a clear description to explain the business purpose of this measure. Ensure that the filters applied are aligned with business requirements.,No changes needed as the naming convention is already clear and descriptive.
Pipeline,Issue,Pipeline.ACR Pipeline Base,,Fair,Simple Aggregation,"No - The measure has a unique calculation logic that combines SUM, KEEPFILTERS, and ALL functions.",No - This measure is not a commonly used standard measure like Total Sales or Gross Margin.,"No - The calculation logic is not intuitive due to the use of KEEPFILTERS and ALL, and the lack of a description makes it harder to understand.",Medium - The measure uses nested functions and has a moderate level of complexity.,"Yes - The name reflects the calculation purpose, but it could be more descriptive.","No - The measure lacks a description, which reduces its clarity and usability.",Yes - The measure uses fully qualified column references and proper DAX syntax.,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.300,0.400,0.300,0.400,0.200,0.200,0.900,0.600,0.400,0.800,Medium,Fair,Departmental,Calculates the total ACR pipeline value for consumption pipeline type.,Medium,Add a clear description to explain the business purpose of the measure. Simplify the calculation logic if possible to improve readability.,"Consider making the name more descriptive, such as 'Total ACR Pipeline Base Value'."
Pipeline,Warning,Pipeline.# Open Opportunities w/ Priority,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters opportunities with priority.,Yes - This measure aligns with standard business reporting needs for tracking opportunities.,Yes - The calculation logic is straightforward and easy to understand.,Low - The measure uses simple DAX functions with minimal nesting.,"Yes - The name is clear and descriptive, reflecting the measure's purpose.","No - The measure lacks a description, which could improve its clarity.",Yes - The measure uses proper DAX syntax and fully qualified references.,0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.900,0.800,1.000,Medium,Good,Enterprise,Tracks the count of open opportunities with priority.,High,Add a description to explain the business purpose of the measure.,No changes needed; the naming convention is appropriate.
Pipeline,Warning,Pipeline.# Open Opportunities w/o Priority,,Good,Simple Aggregation,No - The measure has a unique calculation logic that filters opportunities without priority.,Yes - This measure aligns with standard business reporting needs for tracking opportunities.,Yes - The calculation logic is straightforward and easy to understand.,"Medium - The measure uses multiple KEEPFILTERS functions, adding moderate complexity.","Yes - The name is clear and descriptive, reflecting the measure's purpose.","No - The measure lacks a description, which could improve its clarity.",Yes - The measure uses proper DAX syntax and fully qualified references.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.850,0.700,1.000,Medium,Good,Enterprise,Tracks the count of open opportunities without priority.,High,Add a description to explain the business purpose of the measure.,No changes needed; the naming convention is appropriate.
