Table,Measure,Expression,Description,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Unqualified_Measures_Score,Unqualified_Measures_Explanation,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Is_Name_Not_Reflecting_Expression,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
M_ACR,$ ACR MoM Change,[$ ACR Latest Selected Month] - [$ ACR Previous Selected Month],,No,,No,,Yes,"$ acr latest selected month, $ acr previous selected month",No,,"$ ACR MoM Change -> M_ACR + [$ ACR Latest Selected Month] - [$ ACR Previous Selected Month] | REFERENCES: $ ACR Latest Selected Month -> M_ACR + 
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Month]
RETURN
CALCULATE(
    [$ ACR],
    DimDate[CreateDate]=SelectedMonth
), $ ACR Previous Selected Month -> M_ACR + 
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - 1 Month Prior to Latest Selected Month]
RETURN
CALCULATE(
    [$ ACR],ALL(DimDate),
    DimDate[CreateDate]=SelectedMonth
)",0.2,No qualified references - simpler measure,0.2,,0.4,,0.0,The abbreviation 'ACR' and 'MoM' are not self-explanatory and could confuse users unfamiliar with these terms.,0.6,0.4,0.30000000000000004,critical,1,RED,#FF0000
M_ACR,% T3M CAGR Last Closed Month,"CALCULATE([% T3M CAGR], DimDate[IsLastAzureClosedMonth]=1)",,No,,No,,Yes,% t3m cagr,No,,"% T3M CAGR Last Closed Month -> M_ACR + CALCULATE([% T3M CAGR], DimDate[IsLastAzureClosedMonth]=1) | REFERENCES: % T3M CAGR -> M_ACR + 
// CMGR calculation over the selected value of periods in average. 
VAR SelectedMonth = [DATE - Latest Selected Azure Closed Month]
VAR LatestAzureClosedMonth = [DATE - Last Closed Azure Month]
VAR PeriodsInAverage = 3
VAR FirstMonthDate = EDATE ( SelectedMonth , -1 * PeriodsInAverage )
VAR CurrentMonthACR = MAX ( [$ ACR Selected Month] , 0 )
VAR FirstMonthACR = MAX (
	CALCULATE (
                'M_ACR'[$ ACR], ALL(DimDate),
                'DimDate'[MonthStartDate] = FirstMonthDate
            ) , 0 )
VAR FirstMonthACR_GREATER_THAN_ZERO = FirstMonthACR > 0
VAR SelectedMonth_NOT_AFTER_LastAzureClosedMonth = LatestAzureClosedMonth >= SelectedMonth
VAR CMGR = 
	DIVIDE ( CurrentMonthACR , FirstMonthACR ) ^ ( 1 / PeriodsInAverage ) - 1
RETURN
IF ( FirstMonthACR_GREATER_THAN_ZERO && SelectedMonth_NOT_AFTER_LastAzureClosedMonth , CMGR , BLANK ( ) )",0.2,No qualified references - simpler measure,0.0,The abbreviation 'T3M' and 'CAGR' are not self-explanatory and require additional context to understand.,0.0,The name does not clearly reflect the calculation of compound monthly growth rate over the last three months.,0.0,The abbreviations 'T3M' and 'CAGR' are not self-explanatory.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ ACR Baseline Avg Daily (Monthly),"
VAR LastClosedAzureMonth = [DATE - Last Closed Azure Month]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR DaysInMonth = [# Days in Month]
VAR LastMonthACR = CALCULATE (
    [$ Avg Daily ACR (less IP CoSell) Selected Month],
    ALL(DimDate),
    'DimDate'[MonthStartDate] = LastClosedAzureMonth)
RETURN
IF(SelectedMonth > LastClosedAzureMonth,LastMonthACR * DaysInMonth,BLANK())",,No,,No,,Yes,"# days in month, $ avg daily acr (less ip cosell) selected month, date - last closed azure month, date - latest selected month",Yes,,"$ ACR Baseline Avg Daily (Monthly) -> M_ACR + 
VAR LastClosedAzureMonth = [DATE - Last Closed Azure Month]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR DaysInMonth = [# Days in Month]
VAR LastMonthACR = CALCULATE (
    [$ Avg Daily ACR (less IP CoSell) Selected Month],
    ALL(DimDate),
    'DimDate'[MonthStartDate] = LastClosedAzureMonth)
RETURN
IF(SelectedMonth > LastClosedAzureMonth,LastMonthACR * DaysInMonth,BLANK()) | REFERENCES: # Days in Month -> M_Date + [Start End Date Diff] + 1, $ Avg Daily ACR (less IP CoSell) Selected Month -> M_ACR + 
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Azure Closed Month]
RETURN
CALCULATE(
   [$ Avg Daily ACR (less IP Co-Sell)],
    'DimDate'[MonthStartDate] = SelectedMonth
), DATE - Last Closed Azure Month -> M_Date + 
// Returns start date of last closed Azure month
VAR LastClosedAzureMonth = CALCULATE(SELECTEDVALUE('DimDate'[MonthStartDate]), ALL('DimDate'), 'DimDate'[IsLastAzureClosedMonth] = 1)
RETURN
LastClosedAzureMonth, DATE - Latest Selected Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]) )
RETURN
LatestSelectedMonth",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. It is unclear what 'Baseline Avg Daily' refers to without deeper understanding of the business logic.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ Avg Daily ACR (less IP CoSell) Selected Month,"
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Azure Closed Month]
RETURN
CALCULATE(
   [$ Avg Daily ACR (less IP Co-Sell)],
    'DimDate'[MonthStartDate] = SelectedMonth
)",,No,,No,,Yes,"$ avg daily acr (less ip co-sell), date - latest selected azure closed month",Yes,,"$ Avg Daily ACR (less IP CoSell) Selected Month -> M_ACR + 
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Azure Closed Month]
RETURN
CALCULATE(
   [$ Avg Daily ACR (less IP Co-Sell)],
    'DimDate'[MonthStartDate] = SelectedMonth
) | REFERENCES: $ Avg Daily ACR (less IP Co-Sell) -> M_ACR + VAR ACR = CALCULATE([$ ACR],DimDate[IsAzureClosed]=""Y"",FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR LessIP = CALCULATE(ACR,FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR Days = [# Days in Month]
RETURN
DIVIDE(ACR , Days), DATE - Latest Selected Azure Closed Month -> M_Date + 
// Returns the date of the latest Azure closed month in the selection
VAR LastClosedAzureMonth = [DATE - Last Closed Azure Month]
VAR LatestSelectedMonth = [DATE - Latest Selected Month]
VAR LastClosedAzureMonth_IS_LESS_THAN_LatestSelectedMonth = LastClosedAzureMonth < LatestSelectedMonth
RETURN
IF(LastClosedAzureMonth_IS_LESS_THAN_LatestSelectedMonth, LastClosedAzureMonth, LatestSelectedMonth)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'less IP CoSell' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ Avg Daily ACR (less IP Co-Sell),"VAR ACR = CALCULATE([$ ACR],DimDate[IsAzureClosed]=""Y"",FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR LessIP = CALCULATE(ACR,FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR Days = [# Days in Month]
RETURN
DIVIDE(ACR , Days)",,No,,No,,Yes,"# days in month, $ acr",Yes,,"$ Avg Daily ACR (less IP Co-Sell) -> M_ACR + VAR ACR = CALCULATE([$ ACR],DimDate[IsAzureClosed]=""Y"",FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR LessIP = CALCULATE(ACR,FILTER('Distinct AdjustmentFlag','Distinct AdjustmentFlag'[AdjustmentFlag]<>""Deal Registration""))
VAR Days = [# Days in Month]
RETURN
DIVIDE(ACR , Days) | REFERENCES: # Days in Month -> M_Date + [Start End Date Diff] + 1, $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'less IP Co-Sell' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ ACR Baseline,"
// ACR Baseline value - totals correctly if no fiscal month is selected
 SUMX ( VALUES ( 'DimDate'[FiscalMonth] ) , [$ ACR Baseline Avg Daily (Monthly)] )",,No,,No,,Yes,$ acr baseline avg daily (monthly),No,,"$ ACR Baseline -> M_ACR + 
// ACR Baseline value - totals correctly if no fiscal month is selected
 SUMX ( VALUES ( 'DimDate'[FiscalMonth] ) , [$ ACR Baseline Avg Daily (Monthly)] ) | REFERENCES: $ ACR Baseline Avg Daily (Monthly) -> M_ACR + 
VAR LastClosedAzureMonth = [DATE - Last Closed Azure Month]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR DaysInMonth = [# Days in Month]
VAR LastMonthACR = CALCULATE (
    [$ Avg Daily ACR (less IP CoSell) Selected Month],
    ALL(DimDate),
    'DimDate'[MonthStartDate] = LastClosedAzureMonth)
RETURN
IF(SelectedMonth > LastClosedAzureMonth,LastMonthACR * DaysInMonth,BLANK())",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. It is unclear what 'Baseline' refers to without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,# Subscriptions,CALCULATE(COUNT('Distinct SubscriptionGUID'[SubscriptionGUID])),,No,,No,,No,,Yes,,# Subscriptions -> M_ACR + CALCULATE(COUNT('Distinct SubscriptionGUID'[SubscriptionGUID])),0.2,No qualified references - simpler measure,0.2,,0.4,,0.4,,1.0,0.8,0.5,critical,1,RED,#FF0000
M_ACR,# New Subscriptions Created CM + T3M,"CALCULATE([# Subscriptions],DimDate_Subscriptions[Month_Rel] in {""CM""
,""CM-1"",""CM-2"",""CM-3""
}
--,CROSSFILTER('Distinct SubscriptionGUID'[SubscriptionGUID],ACR_PY[SubscriptionGUID],Both)
)",,No,,No,,Yes,# subscriptions,No,,"# New Subscriptions Created CM + T3M -> M_ACR + CALCULATE([# Subscriptions],DimDate_Subscriptions[Month_Rel] in {""CM""
,""CM-1"",""CM-2"",""CM-3""
}
--,CROSSFILTER('Distinct SubscriptionGUID'[SubscriptionGUID],ACR_PY[SubscriptionGUID],Both)
) | REFERENCES: # Subscriptions -> M_ACR + CALCULATE(COUNT('Distinct SubscriptionGUID'[SubscriptionGUID]))",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The abbreviation 'CM + T3M' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'CM + T3M' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ PreCredit ACR,"VAR CY = SUM(ACR_CY[PreCreditAzureConsumedRevenue])
VAR PY = SUM(ACR_PY[PreCreditAzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[PreCreditACR]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",,No,,No,,No,,Yes,,"$ PreCredit ACR -> M_ACR + VAR CY = SUM(ACR_CY[PreCreditAzureConsumedRevenue])
VAR PY = SUM(ACR_PY[PreCreditAzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[PreCreditACR]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'PreCredit' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,% Service Level of PreCredit Total,"VAR ONE = DIVIDE([$ PreCredit ACR] , CALCULATE([$ PreCredit ACR],ALL('Distinct ServiceLevel2'[ServiceLevel1])))
VAR TWO = DIVIDE([$ PreCredit ACR] , CALCULATE([$ PreCredit ACR],ALL('Distinct ServiceLevel2'[ServiceLevel2])))
RETURN
IF(ISFILTERED('Distinct ServiceLevel2'[ServiceLevel2]),TWO,ONE)",,No,,No,,Yes,$ precredit acr,No,,"% Service Level of PreCredit Total -> M_ACR + VAR ONE = DIVIDE([$ PreCredit ACR] , CALCULATE([$ PreCredit ACR],ALL('Distinct ServiceLevel2'[ServiceLevel1])))
VAR TWO = DIVIDE([$ PreCredit ACR] , CALCULATE([$ PreCredit ACR],ALL('Distinct ServiceLevel2'[ServiceLevel2])))
RETURN
IF(ISFILTERED('Distinct ServiceLevel2'[ServiceLevel2]),TWO,ONE) | REFERENCES: $ PreCredit ACR -> M_ACR + VAR CY = SUM(ACR_CY[PreCreditAzureConsumedRevenue])
VAR PY = SUM(ACR_PY[PreCreditAzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[PreCreditACR]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Service Level' and 'PreCredit Total' are not clear without additional explanation.,0.4,,0.4,,0.8,0.8,0.4,critical,1,RED,#FF0000
M_ACR,% Service Level of ACR Total,"VAR ONE = DIVIDE([$ ACR] , CALCULATE([$ ACR],ALL('Distinct ServiceLevel2'[ServiceLevel1])))
VAR TWO = DIVIDE([$ ACR] , CALCULATE([$ ACR],ALL('Distinct ServiceLevel2'[ServiceLevel2])))
RETURN
IF(ISFILTERED('Distinct ServiceLevel2'[ServiceLevel2]),TWO,ONE)",,No,,No,,Yes,$ acr,No,,"% Service Level of ACR Total -> M_ACR + VAR ONE = DIVIDE([$ ACR] , CALCULATE([$ ACR],ALL('Distinct ServiceLevel2'[ServiceLevel1])))
VAR TWO = DIVIDE([$ ACR] , CALCULATE([$ ACR],ALL('Distinct ServiceLevel2'[ServiceLevel2])))
RETURN
IF(ISFILTERED('Distinct ServiceLevel2'[ServiceLevel2]),TWO,ONE) | REFERENCES: $ ACR -> M_ACR + VAR CY = SUM(ACR_CY[AzureConsumedRevenue])
VAR PY = SUM(ACR_PY[AzureConsumedRevenue])
VAR A = CY + PY
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ACR_Summarized[AzureConsumedRevenue]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Service Level' and 'ACR Total' are not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,% Azure Firewall ACR of Total Organic ACR,"DIVIDE([$ Azure Firewall ACR] , [$ Organic ACR])",,No,,No,,Yes,"$ azure firewall acr, $ organic acr",No,,"% Azure Firewall ACR of Total Organic ACR -> M_ACR + DIVIDE([$ Azure Firewall ACR] , [$ Organic ACR]) | REFERENCES: $ Azure Firewall ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure Firewall""}), $ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A"")",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Total Organic ACR' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,% Azure Front Door ACR of Total Organic ACR,"DIVIDE([$ Azure Front Door ACR] , [$ Organic ACR])",,No,,No,,Yes,"$ azure front door acr, $ organic acr",No,,"% Azure Front Door ACR of Total Organic ACR -> M_ACR + DIVIDE([$ Azure Front Door ACR] , [$ Organic ACR]) | REFERENCES: $ Azure Front Door ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure Front Door Service""}), $ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A"")",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Total Organic ACR' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,% Azure DDOS ACR of Total Organic ACR,"DIVIDE([$ Azure DDOS ACR] , [$ Organic ACR])",,No,,No,,Yes,"$ azure ddos acr, $ organic acr",No,,"% Azure DDOS ACR of Total Organic ACR -> M_ACR + DIVIDE([$ Azure DDOS ACR] , [$ Organic ACR]) | REFERENCES: $ Azure DDOS ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure DDOS Protection""}), $ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A"")",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Total Organic ACR' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ Priority Network Security Services ACR,[$ Azure Firewall ACR] + [$ Azure Front Door ACR] + [$ Azure DDOS ACR],,No,,No,,Yes,"$ azure ddos acr, $ azure firewall acr, $ azure front door acr",Yes,,"$ Priority Network Security Services ACR -> M_ACR + [$ Azure Firewall ACR] + [$ Azure Front Door ACR] + [$ Azure DDOS ACR] | REFERENCES: $ Azure DDOS ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure DDOS Protection""}), $ Azure Firewall ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure Firewall""}), $ Azure Front Door ACR -> M_Defender + CALCULATE([$ ACR],'Distinct ServiceLevel4'[ServiceLevel2] in {""Azure Front Door Service""})",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Priority Network Security Services' is not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,% Priority Network Security Services ACR of Total Organic ACR,"DIVIDE([$ Priority Network Security Services ACR] , [$ Organic ACR])",,No,,No,,Yes,"$ organic acr, $ priority network security services acr",No,,"% Priority Network Security Services ACR of Total Organic ACR -> M_ACR + DIVIDE([$ Priority Network Security Services ACR] , [$ Organic ACR]) | REFERENCES: $ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A""), $ Priority Network Security Services ACR -> M_ACR + [$ Azure Firewall ACR] + [$ Azure Front Door ACR] + [$ Azure DDOS ACR]",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The term 'Priority Network Security Services' and 'Total Organic ACR' are not clear without additional explanation.,0.4,,0.0,The abbreviation 'ACR' is not self-explanatory and could confuse users unfamiliar with the term.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ ADG,"VAR A = SUM(ADG[AzureConsumedRevenue])
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ADG_Summarized[ACR]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",,No,,No,,No,,No,,"$ ADG -> M_ACR + VAR A = SUM(ADG[AzureConsumedRevenue])
VAR S = IF(ISFILTERED(DimCustomer[TPAccountName]),BLANK(),SUM(ADG_Summarized[ACR]))
VAR SelectedView = SELECTEDVALUE(DimViewType[ViewType])
RETURN
SWITCH(SelectedView,""Non-Curated"",S,A)",0.2,No qualified references - simpler measure,0.0,The measure name is not self-explanatory even with the context. The abbreviation 'ADG' is not clear without additional explanation.,0.0,The name does not reflect the calculation as the abbreviation 'ADG' is not explained in the context.,0.0,The abbreviation 'ADG' is not self-explanatory and could confuse users unfamiliar with the term.,0.0,0.0,0.0,critical,1,RED,#FF0000
M_ACR,$ Average Daily Organic ACR,"
VAR Days = [# Days in Month]
VAR DaysCurrent = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),TODAY(),DAY)
VAR ACR = M_ACR[$ Organic ACR]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR AzureDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]), DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR AzureCurrentM = [DATE - Azure Current Month]
VAR Today = TODAY()
VAR AzureLastClosed = M_Date[DATE - Last Closed Azure Month]
VAR SourceDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR DaysSource = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),SourceDate,DAY)
RETURN
IF(SelectedMonth = AzureCurrentM,DIVIDE(ACR, DaysSource),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days)))",,No,,Yes,"$ organic acr, date - last closed azure month",Yes,"# days in month, $ organic acr, date - azure current month, date - last closed azure month, date - latest selected month",Yes,"Please use unqualified measures references i.e., [Measure Name] instead of Fully Qualified reference i.e., Table[MeasureName] or 'Table'[MeasureName]. Referenced measures: $ organic acr, date - last closed azure month","$ Average Daily Organic ACR -> M_ACR + 
VAR Days = [# Days in Month]
VAR DaysCurrent = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),TODAY(),DAY)
VAR ACR = M_ACR[$ Organic ACR]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR AzureDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]), DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR AzureCurrentM = [DATE - Azure Current Month]
VAR Today = TODAY()
VAR AzureLastClosed = M_Date[DATE - Last Closed Azure Month]
VAR SourceDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR DaysSource = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),SourceDate,DAY)
RETURN
IF(SelectedMonth = AzureCurrentM,DIVIDE(ACR, DaysSource),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days))) | REFERENCES: # Days in Month -> M_Date + [Start End Date Diff] + 1, $ Organic ACR -> M_ACR + CALCULATE(M_ACR[$ ACR],'Distinct AdjustmentFlag'[AdjustmentFlag]=""N/A""), DATE - Azure Current Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]), DimDate[IsCurrentAzureMonth]=1 )
RETURN
LatestSelectedMonth, DATE - Last Closed Azure Month -> M_Date + 
// Returns start date of last closed Azure month
VAR LastClosedAzureMonth = CALCULATE(SELECTEDVALUE('DimDate'[MonthStartDate]), ALL('DimDate'), 'DimDate'[IsLastAzureClosedMonth] = 1)
RETURN
LastClosedAzureMonth, DATE - Latest Selected Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]) )
RETURN
LatestSelectedMonth",0.0,Has qualified references - complex measure,0.0,"The measure name does not clearly indicate what 'Organic ACR' refers to or how it is calculated, even with the context provided.",0.4,,0.0,The abbreviation 'ACR' is not explained in the measure name itself.,0.4,0.4,0.2,critical,1,RED,#FF0000
M_ACR,$ Avg Daily Organic ACR Latest Selected Month,"
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Month]
RETURN
CALCULATE(
    [$ Average Daily Organic ACR],
    DimDate[CreateDate]=SelectedMonth
)",,No,,No,,Yes,"$ average daily organic acr, date - latest selected month",Yes,,"$ Avg Daily Organic ACR Latest Selected Month -> M_ACR + 
// Returns ACR for the latest selected month. Doesn't roll up to quarters - for use in other measures
VAR SelectedMonth = [DATE - Latest Selected Month]
RETURN
CALCULATE(
    [$ Average Daily Organic ACR],
    DimDate[CreateDate]=SelectedMonth
) | REFERENCES: $ Average Daily Organic ACR -> M_ACR + 
VAR Days = [# Days in Month]
VAR DaysCurrent = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),TODAY(),DAY)
VAR ACR = M_ACR[$ Organic ACR]
VAR SelectedMonth = [DATE - Latest Selected Month]
VAR AzureDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]), DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR AzureCurrentM = [DATE - Azure Current Month]
VAR Today = TODAY()
VAR AzureLastClosed = M_Date[DATE - Last Closed Azure Month]
VAR SourceDate = CALCULATE(MAX(DimSourceRefreshDetails[SourceLastRefreshedDate]),DimSourceRefreshDetails[DataCategory]=""OCDM Azure Usage"")
VAR DaysSource = DATEDIFF(CALCULATE(MAX(DimDate[MonthStartDate]),DimDate[IsCurrentAzureMonth]=1),SourceDate,DAY)
RETURN
IF(SelectedMonth = AzureCurrentM,DIVIDE(ACR, DaysSource),IF(SelectedMonth > AzureLastClosed,BLANK(),DIVIDE(ACR, Days))), DATE - Latest Selected Month -> M_Date + 
// Returns the value of the latest selected month
VAR LatestSelectedMonth = CALCULATE ( MAX('DimDate'[MonthStartDate]) )
RETURN
LatestSelectedMonth",0.2,No qualified references - simpler measure,0.0,"The measure name does not clarify what 'Organic ACR' means or how it is calculated, even with the context.",0.4,,0.0,The abbreviation 'ACR' is not explained in the measure name itself.,0.4,0.4,0.2,critical,1,RED,#FF0000
