Table,Measure,Expression,Description,Table_Tokens,Measure_Tokens,Expression_Tokens,Description_Tokens,Total_Row_Tokens,Normalized_Expression,Has_Empty_Expression,Has_Duplicate,Duplicate_Measure_Names,Uses_IFERROR,Uses_INTERSECT,TREATAS_Recommendation,Uses_Division_Instead_Of_DIVIDE,DIVIDE_Recommendation,Uses_FILTER_In_CALCULATE,FILTER_CALCULATE_Recommendation,Uses_FILTER_With_Measure,FILTER_MEASURE_Recommendation,Uses_Percentage_Syntax,PERCENTAGE_Recommendation,Direct_Measure_Reference,Has_Qualified_Measure_References,Qualified_Referenced_Measures,DAX_Recommendations,Critical_Score,Max_Critical_Score,Issue_Score,Max_Issue_Score,Warning_Score,Max_Warning_Score,Total_DAX_Score,Max_Total_DAX_Score,Is_Self_Explanatory_Score,Why_Not_Self_Explanatory,Name_Reflects_Expression_Score,Why_Name_Not_Reflecting,Avoid_Abbreviations_Score,Why_Cryptic_Abbreviated,Total_AI_Quality_Score,Combined_Naming_Score,Overall_Quality_Average,Issue_Severity,Severity_Priority,Severity_Color_Code,Severity_Hex_Color
Trending,Additional Pipeline Needed WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR Latest =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PW =
    CALCULATE(
        [Additional Pipeline Needed Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    IF(Latest <= 0, 0, Latest) - IF(PW <= 0, 0, PW)
",,1,5,146,0,164,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var latest = calculate( [additional pipeline needed base], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var pw = calculate( [additional pipeline needed base], filter( all('trending week'), 'trending week'[datasetversionkey] = prevweekkey ) ) return if(latest <= 0, 0, latest) - if(pw <= 0, 0, pw)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Additional Pipeline Needed' or 'WoW' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'Additional Pipeline Needed'.,0.5,The abbreviation 'WoW' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,STU Owned Pipeline MoM,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevMonthKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )
",,1,6,166,0,185,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var a = calculate( [stu owned pipeline base], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var b = calculate( [stu owned pipeline base], filter( all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey ) ) var x = round(a, 2) var y = round(b, 2) return if( or(x <= 0, y <= 0), blank(), x - y )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'STU' and 'MoM' are not explained, and the name does not clarify the calculation.",0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'STU Owned Pipeline'.,0.5,The abbreviations 'STU' and 'MoM' are unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,STU Owned Pipeline WoW,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR B =
    CALCULATE(
        [STU Owned Pipeline Base],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(
        OR(X <= 0, Y <= 0),
        BLANK(),
        X - Y
    )
",,1,6,166,0,185,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var a = calculate( [stu owned pipeline base], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var b = calculate( [stu owned pipeline base], filter( all('trending week'), 'trending week'[datasetversionkey] = prevweekkey ) ) var x = round(a, 2) var y = round(b, 2) return if( or(x <= 0, y <= 0), blank(), x - y )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'STU' and 'WoW' are not explained, and the name does not clarify the calculation.",0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'STU Owned Pipeline'.,0.5,The abbreviations 'STU' and 'WoW' are unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,STU Owned Pipeline Latest Week,"CALCULATE([STU Owned Pipeline Base],KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))",,1,6,27,0,46,"calculate([stu owned pipeline base],keepfilters( 'trending week'[week type] = ""latest week"" ))",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'STU' is not explained, and the name does not clarify the calculation.",0.5,The name does not reflect that the measure calculates 'STU Owned Pipeline Base' for the latest week.,0.5,The abbreviation 'STU' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Close Plan Attach WoW,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)
",,1,5,156,0,174,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var a = calculate( [qualified pipeline with close plan attach], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var b = calculate( [qualified pipeline with close plan attach], filter(all('trending week'), 'trending week'[datasetversionkey] = prevweekkey) ) var x = round(a, 2) var y = round(b, 2) return if(or(x <= 0, y <= 0), blank(), x - y)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Close Plan Attach' or 'WoW' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'Qualified Pipeline with Close Plan Attach'.,0.5,The abbreviation 'WoW' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Close Plan Attach MoM,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR A =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR B =
    CALCULATE(
        [Qualified Pipeline with Close Plan Attach],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

VAR X = ROUND(A, 2)
VAR Y = ROUND(B, 2)

RETURN
    IF(OR(X <= 0, Y <= 0), BLANK(), X - Y)
",,1,5,156,0,174,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var a = calculate( [qualified pipeline with close plan attach], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var b = calculate( [qualified pipeline with close plan attach], filter(all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey) ) var x = round(a, 2) var y = round(b, 2) return if(or(x <= 0, y <= 0), blank(), x - y)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Close Plan Attach' or 'MoM' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'Qualified Pipeline with Close Plan Attach'.,0.5,The abbreviation 'MoM' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,159,0,179,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = prevweekkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Qualified Pipeline Coverage' or 'WoW' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving week-over-week changes in 'Qualified Pipeline Coverage to Forecast'.,0.5,The abbreviation 'WoW' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast MoM,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,159,0,179,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var currentval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The name does not explain what 'Qualified Pipeline Coverage' or 'MoM' means or how the calculation is performed.,0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'Qualified Pipeline Coverage to Forecast'.,0.5,The abbreviation 'MoM' is unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast MoM,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevMonthKey = SelectedKey - 4

VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevMonthKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,156,0,174,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevmonthkey = selectedkey - 4 var currentval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = prevmonthkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,"The abbreviation 'CPC' and 'MoM' are not explained, and the name does not clarify the calculation.",0.5,The name does not reflect the detailed calculation involving month-over-month changes in 'CPC to Forecast'.,0.5,The abbreviations 'CPC' and 'MoM' are unclear and not self-explanatory.,2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast WoW,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))

VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = PrevWeekKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,156,0,174,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = prevweekkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'CPC to Forecast WoW' is not self-explanatory as it uses an abbreviation (CPC) and does not clarify what it calculates or what WoW refers to.,0.5,"The name does not clearly reflect the expression, as it does not explain the subtraction of rounded values or the use of previous and current week keys.",0.5,"The name uses the abbreviation 'CPC' and 'WoW', which are not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Budget Latest Week,"CALCULATE( [CPC to Budget], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) )",,1,6,30,0,47,"calculate( [cpc to budget], keepfilters( 'trending week'[week type] = ""latest week"" ) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'CPC to Budget Latest Week' is not self-explanatory as it uses an abbreviation (CPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which calculates 'CPC to Budget' for the latest week using a specific filter.",0.5,"The name uses the abbreviation 'CPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Additional Pipeline Needed Forecast Latest Week,"VAR  A = CALCULATE( ( [Pipeline Target Unround] * ( [Billed Forecast] - SUM( Trending[ActualBilledRevenue] ) - SUM( Trending[ScheduledBilledRevenue] ) ) )
    - ( SUM( Trending[QualifiedPipeline] ) + SUM( Trending[RunRateProjections] ) )
    ,KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ))

RETURN IF(OR(A <= 0,[QPC to Forecast KPI] > 0.995),BLANK(),A)",,1,6,114,0,132,"var a = calculate( ( [pipeline target unround] * ( [billed forecast] - sum( trending[actualbilledrevenue] ) - sum( trending[scheduledbilledrevenue] ) ) ) - ( sum( trending[qualifiedpipeline] ) + sum( trending[runrateprojections] ) ) ,keepfilters( 'trending week'[week type] = ""latest week"" )) return if(or(a <= 0,[qpc to forecast kpi] > 0.995),blank(),a)",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name is not self-explanatory as it does not clarify how the additional pipeline is calculated or what 'forecast' refers to.,0.5,"The name does not fully reflect the expression, which involves multiple calculations and conditions.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,Qualified Pipeline Coverage to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,147,0,167,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [qualified pipeline coverage to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to budget py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name is not self-explanatory as it does not clarify what 'Qualified Pipeline Coverage' means or how it is calculated.,0.5,"The name does not fully reflect the expression, which calculates the year-over-year difference using current and previous values.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,CPC to Budget YoY,"VAR SelectedKey = SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Budget],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Budget PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,146,0,164,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [cpc to budget], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [committed pipeline coverage to budget py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'CPC to Budget YoY' is not self-explanatory as it uses an abbreviation (CPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which calculates the year-over-year difference using current and previous values.",0.5,"The name uses the abbreviation 'CPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,CPC to Forecast YoY,"VAR SelectedKey =
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [CPC to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Committed Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,6,147,0,165,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [cpc to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [committed pipeline coverage to forecast py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'CPC to Forecast YoY' is not self-explanatory as it uses an abbreviation (CPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which calculates the year-over-year difference using current and previous values.",0.5,"The name uses the abbreviation 'CPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline Coverage to Forecast YoY,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))


VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline Coverage to Forecast PY],
        FILTER(ALL('Trending Week'), 'Trending Week'[DatasetVersionKey] = SelectedKey)
    )

RETURN
    IF(
        OR(ISBLANK(CurrentVal), ISBLANK(PrevVal)),
        BLANK(),
        ROUND(CurrentVal, 2) - ROUND(PrevVal, 2)
    )
",,1,7,149,0,169,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var currentval = calculate( [qualified pipeline coverage to forecast], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) var prevval = calculate( [qualified pipeline coverage to forecast py], filter(all('trending week'), 'trending week'[datasetversionkey] = selectedkey) ) return if( or(isblank(currentval), isblank(prevval)), blank(), round(currentval, 2) - round(prevval, 2) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name is not self-explanatory as it does not clarify what 'Qualified Pipeline Coverage' means or how it is calculated.,0.5,"The name does not fully reflect the expression, which calculates the year-over-year difference using current and previous values.",0.0,,1.5,0.5,0.8333333333333334,warning,3,YELLOW,#FFFF00
Trending,CPC to Forecast Latest Week,"CALCULATE( [CPC to Forecast], KEEPFILTERS( 'Trending Week'[Week Type] = ""Latest Week"" ) )",,1,6,30,0,47,"calculate( [cpc to forecast], keepfilters( 'trending week'[week type] = ""latest week"" ) )",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'CPC to Forecast Latest Week' is not self-explanatory as it uses an abbreviation (CPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which calculates 'CPC to Forecast' for the latest week using a specific filter.",0.5,"The name uses the abbreviation 'CPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,QPC to Budget KPI,"DIVIDE([Qualified Pipeline Coverage to Budget Latest Week],[Pipeline Target],BLANK())",,1,5,17,0,34,"divide([qualified pipeline coverage to budget latest week],[pipeline target],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'QPC to Budget KPI' is not self-explanatory as it uses an abbreviation (QPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which divides 'Qualified Pipeline Coverage to Budget Latest Week' by 'Pipeline Target'.",0.5,"The name uses the abbreviation 'QPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,QPC to Forecast KPI,"DIVIDE([Qualified Pipeline Coverage to Forecast Latest Week],[Pipeline Target],BLANK())",,1,5,17,0,34,"divide([qualified pipeline coverage to forecast latest week],[pipeline target],blank())",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'QPC to Forecast KPI' is not self-explanatory as it uses an abbreviation (QPC) and does not clarify what it calculates.,0.5,"The name does not fully reflect the expression, which divides 'Qualified Pipeline Coverage to Forecast Latest Week' by 'Pipeline Target'.",0.5,"The name uses the abbreviation 'QPC', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
Trending,Qualified Pipeline WoW,"VAR SelectedKey = 
    SELECTEDVALUE('Trending Week'[DatasetVersionKey], MAX('Trending Week'[DatasetVersionKey]))
VAR PrevWeekKey = SelectedKey - 1

VAR CurrentVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = SelectedKey
        )
    )

VAR PrevVal =
    CALCULATE(
        [Qualified Pipeline],
        FILTER(
            ALL('Trending Week'),
            'Trending Week'[DatasetVersionKey] = PrevWeekKey
        )
    )

RETURN
    CurrentVal - PrevVal
",,1,4,127,0,144,"var selectedkey = selectedvalue('trending week'[datasetversionkey], max('trending week'[datasetversionkey])) var prevweekkey = selectedkey - 1 var currentval = calculate( [qualified pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = selectedkey ) ) var prevval = calculate( [qualified pipeline], filter( all('trending week'), 'trending week'[datasetversionkey] = prevweekkey ) ) return currentval - prevval",False,No,,No,No,,No,,No,,No,,No,,No,No,,,0.5,0.5,0.35000000000000003,0.35,0.15,0.15,1.0,1.0,1.0,The measure name 'Qualified Pipeline WoW' is not self-explanatory as it does not clarify what 'WoW' means or how the qualified pipeline is calculated.,0.5,"The name does not fully reflect the expression, which calculates the week-over-week difference in 'Qualified Pipeline'.",0.5,"The name uses the abbreviation 'WoW', which is not self-explanatory.",2.0,1.0,1.0,good,4,GREEN,#00FF00
